Timestamp,Sei iscritto/a alla Sapienza?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Seleziona il dipartimento a cui sei iscritto/a:,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app di Infostud?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app della tua università?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?,"Nell'ambito di questa comunicazione, ti piacerebbe poterlo fare in maniera anonima?",Preferiresti che questo forum sia nascosto ai professori?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?
12/8/2021 13:09:18,No,,,,,,,,,iOS,Computer portatile,Nessuna delle precedenti,1,No,Si,Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 13:40:41,No,,,,,,,,,iOS,Computer portatile,"Moodle (e-learning), Google Classroom",1,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 13:45:56,No,,,,,,,,,Android,"Computer portatile, Smartphone",Nessuna delle precedenti,2,"Si, dall'app dell'università",Si,Si,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 13:57:42,No,,,,,,,,,Android,Computer portatile,Microsoft Teams,4,No,"Si, dall'app dell'università",No,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Bacheca annunci del docente, Modalità d'esame, Dispense",Si
12/8/2021 14:16:33,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente, Microsoft Teams",3,No,No,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/8/2021 14:17:16,Si,Android,Informatica,"Computer portatile, Ebook reader","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud",Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 14:17:30,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Google Classroom",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Diario delle lezioni, Modalità d'esame, Esempi d'esame",Si,,,
12/8/2021 14:17:37,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/8/2021 14:19:25,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud",Si,"Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 14:31:45,Si,Android,Informatica,"Computer portatile, Tablet","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,"Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 14:36:39,Si,Android,Altro,"Tablet, Smartphone","Moodle (e-learning), Google Classroom",1,"Si, dall'app di Infostud","Si, dall'app di Infostud",No,,,,,,,,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/8/2021 14:40:26,No,,,,,,,,,Android,Computer fisso,Microsoft Teams,4,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Materiale didattico degli anni precedenti, Risultati degli esami, Programma del corso, Dispense",Si,,,
12/8/2021 14:44:02,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,"Si, dall'app di Infostud",Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/8/2021 14:51:41,Si,Android,Informatica,"Computer fisso, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 14:57:44,Si,Android,"Scienze anatomiche, istologiche, medico-legali e dell'apparato locomotore",Smartphone,Google Classroom,3,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 15:21:53,Si,Android,Economia e diritto,"Computer portatile, Smartphone",Google Classroom,3,Si,Si,"Si, dall'app di Infostud",,,,,,,,Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 15:57:42,Si,Android,Psicologia,Computer fisso,"Moodle (e-learning), Google Classroom, Sito del docente",4,Si,Si,No,,,,,,,,,,,,,,"Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si
12/8/2021 16:20:59,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud","Si, dall'app di Infostud",Si,,,,,,,,No,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Registrazioni delle lezioni",Si,,,
12/8/2021 16:30:13,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 16:40:10,No,,,,,,,,,iOS,Computer portatile,Sito del docente,6,Si,Si,Si,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 17:07:34,Si,Android,Informatica,"Computer portatile, Computer fisso","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,"Si, dall'app di Infostud",Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 20:02:38,No,,,,,,,,,Android,"Computer fisso, Tablet","Moodle (e-learning), Google Classroom, Sito del docente, Microsoft Teams",3,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, ""recensioni,commenti o tips riguardo a un preciso corso o professore",Si,,,
12/8/2021 20:06:28,No,,,,,,,,,iOS,Computer portatile,Nessuna delle precedenti,6,"Si, dall'app dell'università",Si,Si,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Diario delle lezioni, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 20:16:35,No,,,,,,,,,Android,"Computer portatile, Smartphone",Google Classroom,6,"Si, dall'app dell'università","Si, dall'app dell'università",Si,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 20:18:11,Si,Android,Chimica,Computer fisso,Moodle (e-learning),5,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/8/2021 22:07:25,Si,Android,Fisica,"Computer portatile, Smartphone","Moodle (e-learning), Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,Si,,"Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/9/2021 15:42:53,No,,,,,,,,,Android,"Computer portatile, iPad",Microsoft Teams,5,Si,Si,Si,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/9/2021 21:37:48,Si,Android,"Ingegneria informatica, automatica e gestionale Antonio Ruberti",Computer fisso,"Moodle (e-learning), Google Classroom, Sito del docente",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,No,,Materiale didattico degli anni precedenti,No,,,
12/10/2021 15:41:45,Si,Android,"Ingegneria informatica, automatica e gestionale Antonio Ruberti","Computer fisso, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,Si,Si,No,,,,,,,,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/11/2021 12:16:59,Si,iOS,Informatica,"Computer portatile, iPad","Twiki, Google Classroom",2,Si,Si,Si,,,,,,,,No,Si,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami",Si,,,
12/11/2021 12:18:25,Si,Android,Informatica,"Computer portatile, Smartphone","Twiki, Google Classroom, Sito del docente",2,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 12:23:50,Si,Android,Informatica,Computer portatile,"Twiki, Google Classroom",3,Si,Si,Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Registrazioni delle lezioni",Si,,,
12/11/2021 12:25:02,Si,Android,Informatica,"Computer fisso, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 12:28:44,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,No,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 12:33:46,Si,Android,Informatica,"Computer fisso, Smartphone","Moodle (e-learning), Twiki, Sito del docente",1,Si,Si,Si,,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame",Si,,,
12/11/2021 12:35:09,Si,Android,Informatica,Computer fisso,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,"Si, dall'app di Infostud",Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si
12/11/2021 12:35:24,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/11/2021 12:36:58,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,"Si, dall'app di Infostud",,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 12:43:38,Si,Android,"Ingegneria dell'informazione, elettronica e telecomunicazioni","Computer portatile, iPad","Moodle (e-learning), Twiki, Google Classroom",2,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 12:51:37,Si,iOS,Informatica,"Computer portatile, iPad","Moodle (e-learning), Twiki, Google Classroom",3,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/11/2021 19:24:55,Si,iOS,Informatica,Computer portatile,Moodle (e-learning),2,"Si, dall'app di Infostud",Si,Si,,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Esempi d'esame",Si,,,
12/11/2021 23:53:59,Si,Android,Informatica,Tab s7+,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,Si,Si,No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",No
12/12/2021 0:00:14,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti",Modalità d'esame,Si,,,
12/12/2021 0:09:15,Si,Android,Informatica,"Computer portatile, Tablet","Moodle (e-learning), Twiki, Google Classroom",6,"Si, dall'app di Infostud","Si, dall'app di Infostud","Si, dall'app di Infostud",,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/14/2021 23:06:10,No,,,,,,,,,Android,"Computer fisso, Smartphone","Moodle (e-learning), Google Classroom, Microsoft Teams",2,Si,"Si, dall'app dell'università",Si,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Programma del corso, Dispense, Esempi d'esame",Si,,,
