Timestamp,Sei iscritto/a alla Sapienza?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Seleziona il dipartimento a cui sei iscritto/a:,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app di Infostud?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?, Qual è il sistema operativo mobile che utilizzi con più frequenza?,Nell'ambito dello studio quale dispositivo usi maggiormente?  ,Quali tra queste piattaforme hai utilizzato?,Quanto spesso utilizzi l'app della tua università?,Ti piacerebbe ricevere delle notifiche riguardo gli annunci dei professori?,Ti piacerebbe poter scaricare eventuali slides ed esercizi di un corso?,Ti piacerebbe poter comunicare con colleghi e docenti tramite un forum?,"Nell'ambito di questa comunicazione, ti piacerebbe poterlo fare in maniera anonima?",Preferiresti che questo forum sia nascosto ai professori?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?,"Preferiresti essere iscritto automaticamente alle pagine dei corsi in base al tuo percorso di studi, oppure poterlo fare in autonomia, magari potendo accedere anche a pagine di anni precedenti?",Seleziona tra queste le funzionalità/sezioni che ritieni più utili riguardo a un corso:,Ti piacerebbe poter accedere a queste funzionalità/sezioni anche da una pagina web?
12/6/2021 11:46:53,Si,Android,Informatica,Computer fisso,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",2,"Si, dall'app di Infostud",Si,"Si, dall'app di Infostud",,,,,,,,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 11:49:44,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia","Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 11:54:10,Si,Android,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",3,"Si, dall'app di Infostud",Si,"Si, dall'app di Infostud",,,,,,,,No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 11:54:59,Si,iOS,Informatica,"Computer portatile, Smartphone","Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,"Si, dall'app di Infostud","Si, dall'app di Infostud",No,,,,,,,,,,,,,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Sondaggi, Esempi d'esame, Registrazioni delle lezioni, Materiale didattico degli anni precedenti",Si
12/6/2021 11:57:13,Si,iOS,Altro,Computer portatile,Moodle (e-learning),4,Si,Si,Si,,,,,,,,Si,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Modalità d'esame, Programma del corso, Lista dei libri di testo consigliati, Esempi d'esame",Si,,,
12/6/2021 11:58:46,Si,Android,Informatica,Computer fisso,Google Classroom,1,Si,Si,Si,,,,,,,,No,No,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Dispense, Esempi d'esame",Si,,,
12/6/2021 11:59:12,Si,Android,Scienze della Terra,Computer portatile,"Moodle (e-learning), Google Classroom",3,"Si, dall'app di Infostud",Si,No,,,,,,,,,,,,,"Si, preferirei essere iscritto automaticamente e di conseguenza non avere la possibilità di accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Bacheca annunci del docente, Modalità d'esame, Homework/esercizi assegnati, Programma del corso, Dispense",No
12/6/2021 12:02:55,No,,,,,,,,,iOS,Computer portatile,Nessuna delle precedenti,6,"Si, dall'app dell'università","Si, dall'app dell'università","Si, dall'app dell'università",No,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Visualizzare i partecipanti al corso, Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Programma del corso, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:03:17,No,,,,,,,,,iOS,Computer portatile,"Moodle (e-learning), Microsoft Teams",1,Si,Si,Si,Si,Si,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Diario delle lezioni, Materiale didattico degli anni precedenti, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
12/6/2021 12:05:17,Si,Android,Informatica,Computer portatile,"Moodle (e-learning), Twiki, Google Classroom, Sito del docente",4,Si,Si,Si,,,,,,,,Si,No,"No, preferirei avere la possibilità di scegliere i corsi in autonomia e di poter accedere a pagine di anni precedenti","Calendario didattico, Diario delle lezioni, Materiale didattico degli anni precedenti, Bacheca annunci del docente, Modalità d'esame, Risultati degli esami, Homework/esercizi assegnati, Programma del corso, Lista dei libri di testo consigliati, Dispense, Esempi d'esame, Registrazioni delle lezioni",Si,,,
